Standard,Cluster,Namespace,Object Type,Object Name,Control,Control Description,State,Evidence,Assessment Time
ocp4-stig-v2r1,local-cluster,,Cluster,local-cluster,"=(""api-server-encryption-provider-cipher"")",Configure the Encryption Provider Cipher (CIS-OCP 1.2.31;2.8),Pass,1. (Pass) Pass for ocp4-stig-v2r1-api-server-encryption-provider-cipher. Please see the Compliance Operator's full report in ARF format for more detailed evidence.,"Wed, 03 Sep 2025 14:51:21 UTC"
ocp4-stig-v2r1,local-cluster,,Cluster,local-cluster,"=(""api-server-tls-security-profile"")",Ensure APIServer is configured with secure tlsSecurityProfile,Pass,1. (Pass) Pass for ocp4-stig-v2r1-api-server-tls-security-profile. Please see the Compliance Operator's full report in ARF format for more detailed evidence.,"Wed, 03 Sep 2025 14:51:21 UTC"
ocp4-stig-v2r1,local-cluster,,Cluster,local-cluster,"=(""audit-error-alert-exists"")",Ensure that Audit Log Errors Emit Alerts,Pass,1. (Pass) Pass for ocp4-stig-v2r1-audit-error-alert-exists. Please see the Compliance Operator's full report in ARF format for more detailed evidence.,"Wed, 03 Sep 2025 14:51:21 UTC"
ocp4-stig-v2r1,local-cluster,,Cluster,local-cluster,"=(""audit-log-forwarding-enabled"")",Ensure that Audit Log Forwarding Is Enabled (CIS-OCP 1.2.21),Fail,1. (Fail) Fail for ocp4-stig-v2r1-audit-log-forwarding-enabled. Please see the Compliance Operator's full report in ARF format for more detailed evidence.,"Wed, 03 Sep 2025 14:51:21 UTC"
ocp4-stig-v2r1,local-cluster,,Cluster,local-cluster,"=(""audit-log-forwarding-uses-tls"")",Ensure that Audit Log Forwarding Uses TLS,Fail,1. (Fail) Fail for ocp4-stig-v2r1-audit-log-forwarding-uses-tls. Please see the Compliance Operator's full report in ARF format for more detailed evidence.,"Wed, 03 Sep 2025 14:51:21 UTC"
ocp4-stig-v2r1,local-cluster,,Cluster,local-cluster,"=(""audit-profile-set"")",Ensure that the cluster's audit profile is properly set (CIS-OCP 3.2.2),Pass,1. (Pass) Pass for ocp4-stig-v2r1-audit-profile-set. Please see the Compliance Operator's full report in ARF format for more detailed evidence.,"Wed, 03 Sep 2025 14:51:21 UTC"
ocp4-stig-v2r1,local-cluster,,Cluster,local-cluster,"=(""classification-banner"")",Enable Classification Banner on OpenShift Console,Fail,1. (Fail) Fail for ocp4-stig-v2r1-classification-banner. Please see the Compliance Operator's full report in ARF format for more detailed evidence.,"Wed, 03 Sep 2025 14:51:21 UTC"
ocp4-stig-v2r1,local-cluster,,Cluster,local-cluster,"=(""cluster-logging-operator-exist"")",Ensure that OpenShift Logging Operator is scanning the cluster,Fail,1. (Fail) Fail for ocp4-stig-v2r1-cluster-logging-operator-exist. Please see the Compliance Operator's full report in ARF format for more detailed evidence.,"Wed, 03 Sep 2025 14:51:21 UTC"
ocp4-stig-v2r1,local-cluster,,Cluster,local-cluster,"=(""cluster-version-operator-exists"")",Ensure that Cluster Version Operator is deployed,Pass,1. (Pass) Pass for ocp4-stig-v2r1-cluster-version-operator-exists. Please see the Compliance Operator's full report in ARF format for more detailed evidence.,"Wed, 03 Sep 2025 14:51:21 UTC"
ocp4-stig-v2r1,local-cluster,,Cluster,local-cluster,"=(""cluster-version-operator-verify-integrity"")",Ensure that Cluster Version Operator verifies integrity,Pass,1. (Pass) Pass for ocp4-stig-v2r1-cluster-version-operator-verify-integrity. Please see the Compliance Operator's full report in ARF format for more detailed evidence.,"Wed, 03 Sep 2025 14:51:21 UTC"
ocp4-stig-v2r1,local-cluster,,Cluster,local-cluster,"=(""configure-network-policies"")",Ensure that the CNI in use supports Network Policies (CIS-OCP 5.3.1),Pass,1. (Pass) Pass for ocp4-stig-v2r1-configure-network-policies. Please see the Compliance Operator's full report in ARF format for more detailed evidence.,"Wed, 03 Sep 2025 14:51:21 UTC"
